ID,Iden,Region,Population,Treatment,Block,Number,style_length,stamen_length,ovule_number,mass,viable_seed,aborted_seed,unfertilized
PI15,PI15D,North,PI,Control,D,2,12.1,8,81,,,,
PI15,PI15D,North,PI,Control,D,3,12.5,8,68,,,,
PI18,PI18A,North,PI,Control,A,1,11.9,7.6,91,,60,1,14
PI18,PI18A,North,PI,Control,A,2,11.9,8.1,106,,43,0,27
PI18,PI18A,North,PI,Control,A,3,12.1,8.2,90,,43,1,31
PI18,PI18B,North,PI,Heat,B,1,10.4,6.9,,,,,
PI18,PI18B,North,PI,Heat,B,2,9.1,6.1,78,,,,
PI18,PI18B,North,PI,Heat,B,3,9.3,6.6,93,,,,
PI18,PI18C,North,PI,Control,C,1,12.9,8.9,129,,,,
PI18,PI18C,North,PI,Control,C,2,12.5,8.7,108,,,,
PI18,PI18C,North,PI,Control,C,3,12.5,8.8,107,,,,
PI18,PI18D,North,PI,Heat,D,1,9.6,6.8,102,,,,
PI18,PI18D,North,PI,Heat,D,2,9.4,6.9,93,,,,
PI18,PI18D,North,PI,Heat,D,3,9.4,7,100,,,,
PI19,PI19A,North,PI,Heat,A,1,10.5,7.3,84,,25,2,33
PI19,PI19A,North,PI,Heat,A,2,10.1,7,71,,38,5,16
PI19,PI19A,North,PI,Heat,A,3,9.9,6.9,61,,28,0,29
PI19,PI19B,North,PI,Control,B,1,12.2,8.1,111,,,,
PI19,PI19B,North,PI,Control,B,2,11.9,7.5,101,,,,
PI19,PI19B,North,PI,Control,B,3,12.9,7.2,94,,,,
PI19,PI19C,North,PI,Heat,C,1,,,,,,,
PI19,PI19C,North,PI,Heat,C,2,,,,,,,
